Tipo de item;Chave da item;Resumo;Responsável;Relator;Prioridade;Status;Criado;Atualizado(a);Campo personalizado (Domínio de TI - Atuação)
Sub-tarefa;TC-241;Criar uma lista de transmissão do Financeiro (emula e-mail);Anthony Cruz;Anthony Cruz;Médio;Tarefas pendentes;09/03/2026 16:42;09/03/2026 16:43;Software & Aplicações (Sistemas)
Sub-tarefa;TC-240;Migrar Caixa de E-mail de João Pedro;Anthony Cruz;Anthony Cruz;Médio;Aguardando Retorno;09/03/2026 16:06;09/03/2026 16:06;Segurança & Backup
Sub-tarefa;TC-239;Adicionar domínio da HD Imobiliária a conta Microsoft;Anthony Cruz;Anthony Cruz;Médio;Concluído;09/03/2026 15:53;09/03/2026 16:06;Software & Aplicações (Sistemas)
Sub-tarefa;TC-238;Criar acesso dos Sócios Hemerson e Ramon;Anthony Cruz;Anthony Cruz;Médio;Concluído;09/03/2026 15:29;09/03/2026 15:53;Software & Aplicações (Sistemas)
Sub-tarefa;TC-237;Migrar os dados das contas de e-mail previamente existentes;Anthony Cruz;Anthony Cruz;Médio;Concluído;09/03/2026 13:33;09/03/2026 16:06;
Sub-tarefa;TC-236;Criar usuários da Conexão que já possuem e-mail;Anthony Cruz;Anthony Cruz;Médio;Concluído;09/03/2026 11:07;09/03/2026 13:32;Software & Aplicações (Sistemas)
Sub-tarefa;TC-235;Criar lista CSV de importação de caixas de e-mail;Anthony Cruz;Anthony Cruz;Médio;Concluído;09/03/2026 11:07;09/03/2026 11:08;Software & Aplicações (Sistemas)
Sub-tarefa;TC-234;Configurar modelos de usuário do Office 365;Anthony Cruz;Anthony Cruz;Médio;Concluído;09/03/2026 08:30;09/03/2026 11:08;Software & Aplicações (Sistemas)
História;TC-233;Implantação do Microsoft Office 365 Business;Anthony Cruz;Anthony Cruz;Muito alto;Em Andamento;09/03/2026 07:48;11/03/2026 07:42;Software & Aplicações (Sistemas)
Tarefa;TC-232;Criar Dashboards de apresentação de resultados de TI;Anthony Cruz;Anthony Cruz;Alto;Concluído;06/03/2026 11:34;06/03/2026 11:34;Gestão & Administrativo
Reunião Online;TC-231;Reunião de apresentação do modelo de implantação e sustentação do office 365;Anthony Cruz;Anthony Cruz;Médio;Concluído;06/03/2026 10:33;06/03/2026 10:33;Gestão & Administrativo
História;TC-230;Criar domínio do site da HD Imobiliária;Anthony Cruz;Anthony Cruz;Médio;Concluído;05/03/2026 11:10;05/03/2026 16:52;Telefonia & Redes (Conectividade)
História;TC-229;Fazer relatório de todos os pedidos de compra feitos pelo Dep de TI;Anthony Cruz;Anthony Cruz;Médio;Concluído;05/03/2026 10:15;05/03/2026 11:07;Gestão & Administrativo
História;TC-228;Encaminhar boletos de pagamento do TOTVS - março 2026;Anthony Cruz;Anthony Cruz;Médio;Concluído;05/03/2026 09:46;05/03/2026 09:47;Gestão & Administrativo
História;TC-227;Criar um portal de gestão de tarefas internas da HD Imobiliária;Anthony Cruz;Anthony Cruz;Médio;Tarefas pendentes;05/03/2026 08:15;05/03/2026 08:15;Software & Aplicações (Sistemas)
Tarefa;TC-226;Solicitar compra de película de privacidade para notebook;Anthony Cruz;Anthony Cruz;Médio;Tarefas pendentes;05/03/2026 07:50;05/03/2026 07:50;Gestão & Administrativo
Tarefa;TC-225;Fazer inventário de todos os computadores e Celulares;Anthony Cruz;Anthony Cruz;Médio;Em Andamento;03/03/2026 16:53;05/03/2026 08:56;Gestão & Administrativo
